,title,score
192,Sound Shapes,4.5
17049,Fez,4.75
17123,Rogue Legacy,4.5
17140,Gone Home,4.75
17160,The Swapper,4.65
17185,Final Fantasy XIV Online: A Realm Reborn,4.3
17195,Rayman Legends,4.75
17224,Outlast,3.9
17298,LEGO Marvel Super Heroes,4.5
17305,Call of Duty: Ghosts,4.4
17308,SteamWorld Dig,4.75
17334,Madden NFL 25,3.8
17337,Killzone: Shadow Fall,4.0
17338,Knack,2.95
17339,Resogun,4.5
17341,Contrast,3.75
17342,Flower,4.75
17356,Assassin's Creed IV: Black Flag,4.25
17366,NBA 2K14,4.45
17380,Injustice: Gods Among Us -- Ultimate Edition,4.1
17382,Super Motherload,3.0
17383,Just Dance 2014,3.75
17390,Need for Speed Rivals,4.0
17395,Battlefield 4,4.25
17398,NBA Live 14,2.15
17399,The Pinball Arcade,4.5
17436,Warframe,3.75
17437,Escape Plan,4.0
17440,Tiny Brains,2.25
17444,DC Universe Online,4.0
17446,FIFA 14,4.55
17452,Tomb Raider: Definitive Edition,4.55
17466,The Walking Dead: A Telltale Game Series -- Season Two,4.0
17467,Assassin's Creed IV: Black Flag -- Freedom Cry,3.5
17478,Doki-Doki Universe,3.5
17484,Don't Starve,3.75
17500,Peggle 2,4.5
17533,Strider,3.75
17563,The LEGO Movie Videogame,3.25
17579,Basement Crawl,1.5
17595,Thief,3.4
17604,Infamous: Second Son,4.35
17612,Metal Gear Solid V: Ground Zeroes,4.0
17625,LEGO: The Hobbit,3.7
17633,MLB 14: The Show,4.05
17634,Dead Nation: Apocalypse Edition,4.0
17646,TowerFall Ascension,4.45
17656,The Amazing Spider-Man 2,2.7
17662,Daylight,2.9
17665,Mercenary Kings,4.0
17668,Transformers: Rise of the Dark Spark,2.45
17669,Resogun Heroes,4.25
17671,Sniper Elite III,4.1
17674,Child of Light,4.65
17682,Octodad: Dadliest Catch,3.9
17690,Shovel Knight,4.5
17695,Valiant Hearts: The Great War,3.85
17704,Trials Fusion,4.1
17712,War Thunder,3.6
17717,Pure Chess,3.0
17722,EA Sports UFC,3.4
17723,Entwined,3.0
17725,Oddworld: New 'n' Tasty,4.25
17726,Crimsonland,3.75
17731,1001 Spikes,4.0
17736,Another World: 20th Anniversary Edition,2.0
17737,MouseCraft,3.85
17751,Guacamelee! Super Turbo Championship Edition,4.55
17757,Blue Estate,1.5
17759,Murdered: Soul Suspect,2.75
17765,Watch Dogs,4.2
17775,Transistor,4.5
17779,Wolfenstein: The New Order,3.9
17785,Sportsfriends,4.35
17789,Titan Attacks!,3.75
17794,Bound by Flame,3.5
17798,Infamous: First Light,3.75
17802,The Golf Club: Collector's Edition,3.5
17803,Outlast: Whistleblower,3.2
17811,Madden NFL 15,4.35
17820,Metro: Redux,4.3
17821,Counterspy,3.5
17826,Diablo III: Ultimate Evil Edition,4.6
17827,Hohokum,4.4
17834,The Last of Us: Remastered,5.0
17852,Skylanders Trap Team,4.1
17853,Sherlock Holmes: Crimes & Punishments,3.75
17861,Middle-earth: Shadow of Mordor,4.65
17873,FIFA 15,4.15
17875,NHL 15,3.5
17876,Minecraft,4.85
17881,Destiny,3.9
17886,Natural Doctrine,1.4
17890,Disney Infinity: 2.0 Edition -- Marvel Super Heroes,3.4
17891,Disney Infinity: 2.0 Edition -- Toy Box Starter Pack,3.4
17893,Velocity 2X,4.5
17901,The Evil Within,4.35
17913,NBA 2K15,3.9
17925,Driveclub,3.95
17928,Alien: Isolation,2.95
17934,Call of Duty: Advanced Warfare,4.55
17936,Costume Quest 2,3.9
17946,NBA Live 15,2.75
17954,Pro Evolution Soccer 2015,4.5
17957,Far Cry 4,4.25
17963,Game of Thrones: Episode 1 -- Iron From Ice,4.0
17976,Assassin's Creed Unity,3.9
17979,The Binding of Isaac: Rebirth,4.5
17981,Tales from the Borderlands -- Episode 1: Zer0 Sum,4.35
17986,Dragon Age: Inquisition,4.4
17988,LEGO Batman 3: Beyond Gotham,3.7
17995,WWE 2K15,3.5
17997,LittleBigPlanet 3,3.4
17998,Grand Theft Auto V,5.0
18001,Resident Evil,4.0
18004,Saints Row IV: Re-Elected & Gat Out of Hell,3.9
18015,Guilty Gear Xrd Sign,4.25
18019,Super Mega Baseball,4.05
18021,Loadout,3.2
18034,Destiny: The Dark Below,3.0
18040,Secret Ponchos,3.5
18042,Rugby 15,1.0
18049,The Crew,3.0
18050,Evolve,4.5
18064,Assassin's Creed Chronicles: China,3.2
18069,Grim Fandango Remastered,4.65
18074,Dying Light,4.25
18077,Citizens of Earth,3.25
18081,OlliOlli 2: Welcome to OlliWood,4.5
18086,The Witcher 3: Wild Hunt,4.65
18088,Mortal Kombat X,4.2
18090,Titan Souls,4.0
18092,MLB 15: The Show,4.25
18100,Battlefield Hardline,4.0
18105,Elder Scrolls Online: Tamriel Unlimited,4.0
18116,Dead or Alive 5: Last Round,3.5
18120,Final Fantasy X / X-2 HD Remaster,4.65
18121,Wolfenstein: The Old Blood,3.5
18124,Project CARS,4.45
18127,Axiom Verge,3.95
18133,Borderlands: The Handsome Collection,4.2
18135,Final Fantasy Type-0 HD,4.0
18140,Helldivers,4.5
18144,Magicka 2,3.85
18146,Destiny: House of Wolves,3.75
18151,The Order: 1886,3.25
18167,Bloodborne,4.55
18170,The Evil Within: The Assignment,4.25
18179,Life is Strange -- Episode 3: Chaos Theory,4.0
18193,DmC: Devil May Cry -- Definitive Edition,4.45
18195,Far Cry 4: Valley of the Yetis,3.8
18201,Rocket League,4.0
18204,Godzilla,2.25
18206,Everybodyâ€™s Gone to the Rapture,4.25
18207,Beyond Eyes,2.75
18209,Rory McIlroy PGA Tour,2.75
18210,God of War III Remastered,4.4
18211,J-Stars Victory VS.+,2.5
18214,Whispering Willows,2.9
18215,PayDay 2: Crimewave Edition,4.15
18220,Submerged,3.4
18225,Tembo the Badass Elephant,3.5
18228,PlanetSide 2,3.8
18230,Devil May Cry 4 -- Special Edition,3.75
18233,Life is Strange -- Episode 4: Dark Room,3.0
18235,F1 2015,2.9
18239,Hatoful Boyfriend,4.0
18241,The Vanishing of Ethan Carter,4.25
18244,Batman: Arkham Knight,4.6
18247,Journey,4.5
18251,Star Wars Battlefront,4.0
18255,Fallout 4,4.75
18261,Call of Duty: Black Ops III,4.6
18264,Need for Speed,3.15
18266,Darksiders II: Deathinitive Edition,3.75
18269,WWE 2K16,4.4
18274,Divinity: Original Sin -- Enhanced Edition,4.5
18276,Dirt Rally,4.45
18283,Disgaea 5: Alliance of Vengeance,4.35
18285,NBA Live 16,3.0
18290,Just Cause 3,2.95
18292,Batman: Arkham Knight -- Catwoman's Revenge,3.0
18293,Tom Clancy's Rainbow Six Siege,3.95
18298,Rock Band 4,4.4
18299,Tony Hawk's Pro Skater 5,1.75
18304,Bloodborne: The Old Hunters,4.0
18310,Sword Art Online: Lost Song,3.0
18311,Uncharted: The Nathan Drake Collection,4.5
18313,NBA 2K16,4.5
18314,LEGO Dimensions,3.85
18316,Skylanders SuperChargers,4.0
18330,Guitar Hero Live,3.95
18331,Assassin's Creed Syndicate,4.1
18336,FIFA 16,3.9
18343,Tales of Zestiria,3.9
18345,Dragon Quest Heroes,3.1
18346,Wasteland 2: Director's Cut,4.25
18349,Darkest Dungeon,4.55
18352,The Witness,5.0
18355,Plants vs. Zombies: Garden Warfare 2,4.1
18359,Destiny: The Taken King,4.5
18362,NHL 16,3.9
18364,Pro Evolution Soccer 2016,4.75
18366,One Piece: Pirate Warriors 3,3.45
18368,Disney Infinity: 3.0 Edition,4.45
18371,Dishonored: Definitive Edition,4.0
18378,Transformers: Devastation,3.85
18381,Tharsis,2.4
18388,Far Cry Primal,3.95
18393,Street Fighter V,4.0
18396,Dragon Age: Inquisition -- Trespasser,3.5
18402,Rugby World Cup 2015,0.75
18403,Tearaway Unfolded,3.8
18406,Mega Man Legacy Collection,4.5
18407,Madden NFL 16,4.4
18409,Until Dawn,3.75
18420,Naruto Shippuden: Ultimate Ninja Storm 4,2.75
18424,Firewatch,4.65
18427,Unravel,4.15
18430,Mad Max,4.2
18433,Metal Gear Solid V: The Phantom Pain,5.0
18436,Gauntlet: Slayer Edition,3.55
18439,Volume,4.05
18441,Hardware: Rivals,2.75
18442,Amplitude,3.5
18446,LEGO Marvel's Avengers,3.35
18448,Dragon Age: Inquisition -- The Descent,3.15
18449,Galak-Z,4.15
18453,FIFA 17,4.2
18454,NBA 2K17,4.45
18458,BioShock: The Collection,4.1
18461,Dead Rising Triple Pack,3.25
18463,Pro Evolution Soccer 2017,4.75
18473,Assetto Corsa,3.0
18483,TrackMania Turbo,4.2
18487,Ratchet & Clank,4.5
18488,Dead Star,3.55
18494,EA Sports UFC 2,3.2
18498,Tom Clancy's The Division,3.35
18500,Teenage Mutant Ninja Turtles: Mutants in Manhattan,2.45
18506,Enter the Gungeon,4.25
18507,Dark Souls III,4.75
18511,Inside,5.0
18513,Umbrella Corps,1.9
18515,Mighty No. 9 (Collector's Edition),2.8
18519,Hitman: Episode 1,3.95
18521,Heavy Rain,3.75
18526,Uncharted 4: A Thief's End,4.5
18527,Valkyria Chronicles Remastered,4.5
18530,MLB The Show 16,4.65
18536,Mighty No. 9,2.8
18538,Trials of the Blood Dragon,3.45
18542,Mirror's Edge Catalyst,3.4
18550,Battleborn,3.55
18553,The Park,3.5
18558,Hitman: Episode 3,3.0
18561,Dead Island: Definitive Collection,3.5
18562,Odin Sphere Leifthrasir,4.75
18564,One Piece: Burning Blood,3.25
18566,Hitman: Episode 2,4.25
18573,Overwatch,4.7
18576,Worms WMD,3.9
18577,Attack on Titan,3.65
18579,King of Fighters XIV,4.0
18584,Valley,2.5
18587,F1 2016,4.4
18590,Deus Ex: Mankind Divided,4.6
18593,I Am Setsuna,3.75
18594,Kerbal Space Program,4.5
18601,Hitman: Episode 4,3.7
18604,Madden NFL 17,4.3
18605,No Man's Sky,3.0
18608,Carmageddon: Max Damage,2.7
18610,Song of the Deep,3.0
18617,Abzu,4.2
18621,LEGO Star Wars: The Force Awakens,4.5
18622,Star Ocean: Integrity and Faithlessness,2.9
